English                     	日本語
Abdominal adipose tissue    	腹部脂肪組織
Adipocyte                   	脂肪細胞
Adipose tissue              	脂肪組織
Adrenal cortex              	副腎皮質
Adrenal gland               	副腎
Adrenal medulla             	副腎髄質
Adrenal tumor               	副腎腫瘍
Airway epithelium           	気道上皮
Alveolar macrophage         	肺胞マクロファージ
Amnion                      	羊膜
Amniotic fluid              	羊水
Amygdala                    	扁桃体
Aorta                       	大動脈
Aortic endothelium          	大動脈内皮
Aortic smooth muscle        	大動脈平滑筋
Artery                      	動脈
Artery smooth muscle        	動脈平滑筋
Articular cartilage         	関節軟骨
Articular chondrocyte       	関節軟骨細胞
Ascites                     	腹水
Astrocyte                   	星状細胞
Astrocytoma                 	星状細胞腫
B-cell                      	B細胞
B-cell lymphoma             	B細胞リンパ腫
Bile                        	胆汁
Blastocyst                  	胚盤胞
Blood                       	血液
Blood vessel                	血管
Bone                        	骨
Bone marrow                 	骨髄
Bone marrow stroma          	骨髄間質
Bone marrow tumor           	骨髄腫瘍
Brain                       	脳
Brain capillary             	脳毛細血管
Brain cortex                	脳皮質
Brain endothelium           	脳内皮
Brain stem                  	脳幹
Brain tumor                 	脳腫瘍
Bronchiolar epithelial cell 	細気管支上皮細胞
Bronchus                    	気管支
Brown adipose tissue        	褐色脂肪組織
CNS                         	中枢神経系
Cajal-Retzius cell          	カハール・レチウス細胞
Cancellous bone             	海綿骨
Capillary endothelium       	毛細血管内皮
Carcinoma                   	癌
Cardiac myocyte             	心筋細胞
Cartilage                   	軟骨
Caudate nucleus             	尾状核
Cementoblast                	セメント芽細胞
Cerebellum                  	小脳
Cerebrospinal fluid         	脳脊髄液
Cervix                      	子宮頸部
Cervix adenocarcinoma       	子宮頸部腺癌
Cervix carcinoma            	子宮頸部癌
Cervix epithelium           	子宮頸部上皮
Chondrocyte                 	軟骨細胞
Chondrosarcoma              	軟骨肉腫
Chorioamniotic membrane     	絨毛膜羊膜
Choriocarcinoma             	絨毛癌
Chronic myeloid leukemia cell	慢性骨髄性白血病細胞
Cochlea                     	蝸牛
Colon                       	結腸
Colon adenocarcinoma        	結腸腺癌
Colon cancer                	結腸がん
Colon carcinoma             	結腸癌
Colon endothelium           	結腸内皮
Colon epithelium            	結腸上皮
Colon mucosa                	結腸粘膜
Colon smooth muscle         	結腸平滑筋
Colon tumor                 	結腸腫瘍
Cornea                      	角膜
Corneal endothelium         	角膜内皮
Corneal epithelium          	角膜上皮
Corneal fibroblast          	角膜線維芽細胞
Coronary arterial endothelium	冠動脈内皮
Coronary artery             	冠動脈
Corpus callosum             	脳梁
Corpus striatum             	線条体
Craniofacial                	頭蓋顔面
Cytotoxic T-cell            	細胞傷害性T細胞
Decidua                     	脱落膜
Dendritic cell              	樹状細胞
Dental pulp                 	歯髄
Dermoid cancer              	皮様癌
Duodenal adenocarcinoma     	十二指腸腺癌
Duodenal mucosa             	十二指腸粘膜
Duodenum                    	十二指腸
Ectomesenchyme              	外胚葉間葉
Embryo                      	胚
Embryonic brain             	胚性脳
Embryonic carcinoma         	胚性癌
Embryonic fibroblast        	胚性線維芽細胞
Embryonic head              	胚性頭部
Embryonic heart             	胚性心臓
Embryonic kidney            	胚性腎臓
Embryonic liver             	胚性肝臓
Embryonic lung              	胚性肺
Embryonic lung fibroblast   	胚性肺線維芽細胞
Embryonic rhabdomyosarcoma  	胚性横紋筋肉腫
Embryonic spinal cord       	胚性脊髄
Embryonic stem cell         	胚性幹細胞
Embryonic testis            	胚性精巣
Embryonic testis carcinoma  	胚性精巣癌
Endometrial adenocarcinoma  	子宮内膜腺癌
Endometrial cancer          	子宮内膜がん
Endometrial tumor           	子宮内膜腫瘍
Endometrium                 	子宮内膜
Endothelial cell            	内皮細胞
Eosinophil                  	好酸球
Epidermal carcinoma         	表皮癌
Epidermis                   	表皮
Epididymis                  	精巣上体
Epithelium                  	上皮
Erythroblast                	赤芽球
Erythrocyte                 	赤血球
Erythroid cell              	赤血球系細胞
Erythroleukemia             	赤血球白血病
Esophageal carcinoma        	食道癌
Esophagus                   	食道
Ewing sarcoma               	ユーイング肉腫
Extraocular muscle          	外眼筋
Eye                         	目
Femoral artery              	大腿動脈
Femur                       	大腿骨
Fetal B-cell                	胎児B細胞
Fetal adrenal gland         	胎児副腎
Fetal astrocyte             	胎児星状細胞
Fetal blood                 	胎児血液
Fetal brain                 	胎児脳
Fetal brain cortex          	胎児脳皮質
Fetal cartilage             	胎児軟骨
Fetal colon                 	胎児結腸
Fetal esophagus             	胎児食道
Fetal eye                   	胎児目
Fetal fibroblast            	胎児線維芽細胞
Fetal heart                 	胎児心臓
Fetal kidney                	胎児腎臓
Fetal liver                 	胎児肝臓
Fetal lung                  	胎児肺
Fetal lung fibroblast       	胎児肺線維芽細胞
Fetal muscle                	胎児筋肉
Fetal pancreas              	胎児膵臓
Fetal retina                	胎児網膜
Fetal skeletal muscle       	胎児骨格筋
Fetal skin                  	胎児皮膚
Fetal spinal cord           	胎児脊髄
Fetal spleen                	胎児脾臓
Fetal sternum               	胎児胸骨
Fetal testis                	胎児精巣
Fetal thymus                	胎児胸腺
Fetus                       	胎児
Fibroblast                  	線維芽細胞
Fibrosarcoma                	線維肉腫
Follicular cell             	濾胞細胞
Foot sole tissue            	足底組織
Forebrain                   	前脳
Forebrain cortex            	前脳皮質
Foreskin                    	包皮
Foreskin fibroblast         	包皮線維芽細胞
Foreskin keratinocyte       	包皮ケラチノサイト
Frontal cortex              	前頭皮質
Gall bladder                	胆嚢
Gastric adenocarcinoma      	胃腺癌
Gastric antrum              	胃前庭
Gastric carcinoma           	胃癌
Gastric fundus              	胃底
Gastric mucosa              	胃粘膜
Gastric parietal cell       	胃壁細胞
Germ cell                   	生殖細胞
Glial cell                  	神経膠細胞
Glial tumor                 	神経膠腫瘍
Glioblastoma                	神経膠芽腫
Granulocyte                 	顆粒球
Hair                        	髪
Hair follicle               	毛包
Hair follicle dermal papilla	毛包真皮乳頭
Hair root                   	毛根
Head                        	頭
Heart                       	心臓
Heart atrium                	心房
Heart left ventricle        	左心室
Heart muscle                	心筋
Heart ventricle             	心室
Hemangioendothelioma        	血管内皮腫
Hematopoietic               	造血
Hematopoietic stem cell     	造血幹細胞
Hepatic stellate cell       	肝星状細胞
Hepatoblastoma              	肝芽腫
Hepatocyte                  	肝細胞
Hepatoma                    	肝癌
Hindbrain                   	後脳
Hippocampus                 	海馬
Histiocytic lymphoma        	組織球性リンパ腫
Hypothalamus                	視床下部
Ileal mucosa                	回腸粘膜
Ileum                       	回腸
Inner ear                   	内耳
Insulinoma                  	インスリノーマ
Intestinal epithelium       	腸上皮
Intestinal smooth muscle    	腸平滑筋
Intestine                   	腸
Iris                        	虹彩
Jejunal smooth muscle       	空腸平滑筋
Jejunum                     	空腸
Keratinocyte                	ケラチノサイト
Kidney                      	腎臓
Kidney adenocarcinoma       	腎腺癌
Kidney cortex               	腎皮質
Kidney epithelium           	腎上皮
Kidney proximal tubule      	腎近位尿細管
Lacrimal gland              	涙腺
Lactating mammary gland     	授乳中の乳腺
Laryngeal carcinoma         	喉頭癌
Leiomyosarcoma              	平滑筋肉腫
Lens                        	水晶体
Lens epithelium             	水晶体上皮
Lens fibers                 	水晶体線維
Leptomeninges               	軟膜
Leukemia                    	白血病
Leukemic T-cell             	白血病性T細胞
Leukocyte                   	白血球
Lip                         	唇
Liposarcoma                 	脂肪肉腫
Liver                       	肝臓
Liver cancer                	肝がん
Liver epithelium            	肝上皮
Liver tumor                 	肝腫瘍
Lung                        	肺
Lung adenocarcinoma         	肺腺癌
Lung cancer                 	肺がん
Lung carcinoma              	肺癌
Lung endothelial cell       	肺内皮細胞
Lung epithelium             	肺上皮
Lung fibroblast             	肺線維芽細胞
Lung tumor                  	肺腫瘍
Lymph                       	リンパ
Lymph node                  	リンパ節
Lymphoblast                 	リンパ芽球
Lymphoblastoma              	リンパ芽球腫
Lymphocyte                  	リンパ球
Lymphoid tissue             	リンパ組織
Lymphoma                    	リンパ腫
Macrophage                  	マクロファージ
Mammary cancer              	乳がん
Mammary carcinoma           	乳癌
Mammary epithelium          	乳腺上皮
Mammary gland               	乳腺
Mammary tumor               	乳腺腫瘍
Mast cell                   	肥満細胞
Medulla oblongata           	延髄
Medulloblastoma             	髄芽腫
Megakaryoblast              	巨核芽球
Megakaryocyte               	巨核球
Melanocyte                  	メラノサイト
Melanoma                    	メラノーマ
Meninges                    	髄膜
Meningioma                  	髄膜腫
Mesangial cell              	メサンギウム細胞
Mesenchymal cell            	間葉系細胞
Mesenchymal stem cell       	間葉系幹細胞
Mesenchymal tumor           	間葉系腫瘍
Mesothelium                 	中皮
Microglia                   	ミクログリア
Milk                        	ミルク
Molar                       	臼歯
Monocyte                    	単球
Monocytic leukemia          	単球性白血病
Muscle                      	筋肉
Muscle fibroblast           	筋線維芽細胞
Myeloid                     	骨髄系
Myeloid leukemia cell       	骨髄性白血病細胞
Myeloma                     	骨髄腫
Myelomonocyte               	骨髄単球
Myoblast                    	筋芽細胞
Myocardium                  	心筋
Myometrium                  	子宮筋層
Nasal epithelium            	鼻上皮
Nasal mucosa                	鼻粘膜
Nasal mucus                 	鼻粘液
Nasal polyp                 	鼻ポリープ
Nasopharyngeal carcinoma    	鼻咽頭癌
Nasopharyngeal epithelium   	鼻咽頭上皮
Nasopharynx                 	鼻咽頭
Natural killer cell         	ナチュラルキラー細胞
Neonatal brain              	新生児脳
Neonatal brain stem         	新生児脳幹
Neonatal skin               	新生児皮膚
Neuroblastoma               	神経芽細胞腫
Neuroectoderm               	神経外胚葉
Neuroepithelioma            	神経上皮腫
Neuroepithelium             	神経上皮
Neuron                      	ニューロン
Neuroretina                 	神経網膜
