Gene stable ID	Gene start (bp)	Gene end (bp)	Strand	Karyotype band	Chromosome/scaffold name	HGNC ID	HGNC symbol	UniProtKB/Swiss-Prot ID
ENSG00000198888	3307	4262	1		MT	HGNC:7455	MT-ND1	P03886
ENSG00000198763	4470	5511	1		MT	HGNC:7456	MT-ND2	P03891
ENSG00000198804	5904	7445	1		MT	HGNC:7419	MT-CO1	P00395
ENSG00000198712	7586	8269	1		MT	HGNC:7421	MT-CO2	P00403
ENSG00000228253	8366	8572	1		MT	HGNC:7415	MT-ATP8	P03928
ENSG00000198899	8527	9207	1		MT	HGNC:7414	MT-ATP6	P00846
ENSG00000198938	9207	9990	1		MT	HGNC:7422	MT-CO3	P00414
ENSG00000198840	10059	10404	1		MT	HGNC:7458	MT-ND3	P03897
ENSG00000212907	10470	10766	1		MT	HGNC:7460	MT-ND4L	P03901
ENSG00000198886	10760	12137	1		MT	HGNC:7459	MT-ND4	P03905
ENSG00000198786	12337	14148	1		MT	HGNC:7461	MT-ND5	P03915
ENSG00000198695	14149	14673	-1		MT	HGNC:7462	MT-ND6	P03923
ENSG00000198727	14747	15887	1		MT	HGNC:7427	MT-CYB	P00156
ENSG00000278704	56140	58376	-1		GL000009.2			
ENSG00000273748	54224	83311	-1		GL000219.1			
ENSG00000277400	53590	115018	-1		GL000194.1			Q8WZ33
ENSG00000276256	42939	49164	-1		GL000195.1			
ENSG00000274847	53594	115055	-1		GL000194.1	HGNC:31102	MAFIP	
ENSG00000276345	2585	11802	1		KI270721.1			
ENSG00000277630	108007	139659	-1		GL000213.1			
ENSG00000271254	4612	29626	-1		KI270711.1			
ENSG00000277196	138082	161852	-1		KI270734.1			
ENSG00000278817	131494	137392	1		KI270734.1			
ENSG00000276017	72411	74814	1		KI270734.1			
ENSG00000278633	10598	13001	-1		KI270731.1			
ENSG00000275063	41444	41876	1		KI270726.1			P0DP08
ENSG00000277856	26241	26534	1		KI270726.1			
ENSG00000278384	51867	54893	-1		GL000218.1			
ENSG00000268674	35407	35916	1		KI270713.1			P0DMU3
ENSG00000275249	372322	373405	1		KI270727.1			
ENSG00000277475	31698	32528	-1		KI270713.1			
ENSG00000274792	386278	387620	1		KI270727.1			
ENSG00000276760	136160	167571	-1		KI270727.1			
ENSG00000291368	74316	81453	1		HG1311_HG2539_PATCH	HGNC:126	ACR	
ENSG00000292254	8917	69331	1		HG1311_HG2539_PATCH			
ENSG00000274175	17234	19833	1		KI270728.1			
ENSG00000273554	1139577	1147868	-1		KI270728.1			
ENSG00000275869	933862	936467	-1		KI270728.1			
ENSG00000277836	1270984	1271271	1		KI270728.1			
ENSG00000291420	165618	180052	-1		HG1369_PATCH	HGNC:144	ACTG1	
ENSG00000288204	98859	124622	-1		HG1298_PATCH	HGNC:5017	HMX1	
